Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.STRFullRTree.M32.insertBatch1k                  thrpt        10      236.673        0.574    ops/s
c.g.a.r.STRFullRTree.M32.insertBatchGreek               thrpt        10        4.050        0.068    ops/s
c.g.a.r.STRFullRTree.M32.insertOne1k                    thrpt        10    57867.183       98.120    ops/s
c.g.a.r.STRFullRTree.M32.insertOneGreek                 thrpt        10    18452.765       52.784    ops/s
c.g.a.r.STRFullRTree.M32.searchNearest1k                thrpt        10  1291793.552     3435.910    ops/s
c.g.a.r.STRFullRTree.M32.searchNearestGreek             thrpt        10    17803.302       48.263    ops/s
c.g.a.r.STRFullRTree.M32.searchOne1k                    thrpt        10   916235.675     1637.117    ops/s
c.g.a.r.STRFullRTree.M32.searchOneBackpressure1k        thrpt        10   150531.233     1340.445    ops/s
c.g.a.r.STRFullRTree.M32.searchOneBackpressureGreek     thrpt        10   146222.250     1388.247    ops/s
c.g.a.r.STRFullRTree.M32.searchOneGreek                 thrpt        10   967026.005     2357.105    ops/s
c.g.a.r.STRFullRTree.M4.createIndex1k                   thrpt        10     5484.657       17.538    ops/s
c.g.a.r.STRFullRTree.M4.createIndexGreek                thrpt        10      146.253        0.382    ops/s
c.g.a.r.STRFullRTree.M4.deleteBatch1k                   thrpt        10      694.030        3.145    ops/s
c.g.a.r.STRFullRTree.M4.deleteBatchGreek                thrpt        10       14.447        0.054    ops/s
c.g.a.r.STRFullRTree.M4.deleteOne1k                     thrpt        10  1052847.247     3984.898    ops/s
c.g.a.r.STRFullRTree.M4.deleteOneGreek                  thrpt        10   680656.480     5107.310    ops/s
c.g.a.r.STRFullRTree.M4.insertBatch1k                   thrpt        10      688.048       10.247    ops/s
c.g.a.r.STRFullRTree.M4.insertBatchGreek                thrpt        10       13.732        0.064    ops/s
c.g.a.r.STRFullRTree.M4.insertOne1k                     thrpt        10   135570.753      658.796    ops/s
c.g.a.r.STRFullRTree.M4.insertOneGreek                  thrpt        10    79752.360      369.056    ops/s
c.g.a.r.STRFullRTree.M4.searchNearest1k                 thrpt        10  1583717.602    32463.452    ops/s
c.g.a.r.STRFullRTree.M4.searchNearestGreek              thrpt        10    14649.123      412.282    ops/s
c.g.a.r.STRFullRTree.M4.searchOne1k                     thrpt        10  1694701.758    40814.417    ops/s
c.g.a.r.STRFullRTree.M4.searchOneBackpressure1k         thrpt        10   275826.153     1836.530    ops/s
c.g.a.r.STRFullRTree.M4.searchOneBackpressureGreek      thrpt        10   238867.638     3338.009    ops/s
c.g.a.r.STRFullRTree.M4.searchOneGreek                  thrpt        10   901480.555     6953.202    ops/s
c.g.a.r.STRRTree.M10.createIndex1k                      thrpt        10     5946.477       44.438    ops/s
c.g.a.r.STRRTree.M10.createIndexGreek                   thrpt        10      181.343        3.492    ops/s
c.g.a.r.STRRTree.M10.deleteBatch1k                      thrpt        10     1100.170       26.867    ops/s
c.g.a.r.STRRTree.M10.deleteBatchGreek                   thrpt        10       17.263        0.395    ops/s
c.g.a.r.STRRTree.M10.deleteOne1k                        thrpt        10  1251226.570    12473.040    ops/s
c.g.a.r.STRRTree.M10.deleteOneGreek                     thrpt        10   636906.037     4428.928    ops/s
c.g.a.r.STRRTree.M10.insertBatch1k                      thrpt        10      597.220        1.348    ops/s
c.g.a.r.STRRTree.M10.insertBatchGreek                   thrpt        10       12.173        0.043    ops/s
c.g.a.r.STRRTree.M10.insertOne1k                        thrpt        10   774699.237     1987.920    ops/s
c.g.a.r.STRRTree.M10.insertOneGreek                     thrpt        10   524120.008     1760.715    ops/s
c.g.a.r.STRRTree.M10.searchNearest1k                    thrpt        10  2040782.035     8113.322    ops/s
c.g.a.r.STRRTree.M10.searchNearestGreek                 thrpt        10    16847.942       77.678    ops/s
c.g.a.r.STRRTree.M10.searchOne1k                        thrpt        10  1579444.605     5888.171    ops/s
c.g.a.r.STRRTree.M10.searchOneBackpressure1k            thrpt        10   306926.637     2338.719    ops/s
c.g.a.r.STRRTree.M10.searchOneBackpressureGreek         thrpt        10   218686.672     1626.051    ops/s
c.g.a.r.STRRTree.M10.searchOneGreek                     thrpt        10  1337027.745     2993.351    ops/s
c.g.a.r.STRRTree.M128.createIndex1k                     thrpt        10     7347.923       24.568    ops/s
c.g.a.r.STRRTree.M128.createIndexGreek                  thrpt        10      189.710        0.531    ops/s
c.g.a.r.STRRTree.M128.deleteBatch1k                     thrpt        10      456.058        1.509    ops/s
c.g.a.r.STRRTree.M128.deleteBatchGreek                  thrpt        10        1.300        0.000    ops/s
c.g.a.r.STRRTree.M128.deleteOne1k                       thrpt        10  1028053.473     2706.025    ops/s
c.g.a.r.STRRTree.M128.deleteOneGreek                    thrpt        10   279588.923     1153.602    ops/s
c.g.a.r.STRRTree.M128.insertBatch1k                     thrpt        10      490.983        0.768    ops/s
c.g.a.r.STRRTree.M128.insertBatchGreek                  thrpt        10        0.450        0.000    ops/s
c.g.a.r.STRRTree.M128.insertOne1k                       thrpt        10   716255.500     2848.244    ops/s
c.g.a.r.STRRTree.M128.insertOneGreek                    thrpt        10    12111.787       60.245    ops/s
c.g.a.r.STRRTree.M128.searchNearest1k                   thrpt        10   859013.688     1152.372    ops/s
c.g.a.r.STRRTree.M128.searchNearestGreek                thrpt        10    17243.208       70.436    ops/s
